Date,Price,Open,High,Low,Vol.,Change %
2021-12-23,1807.91,"1,803.69","1,811.02","1,798.88",,0.25%
2021-12-24,1808.11,"1,808.19","1,812.70","1,801.61",,0.01%
2021-12-27,1810.9,"1,808.19","1,813.74","1,802.89",,0.15%
2021-12-28,1805.37,"1,811.84","1,820.70","1,804.38",,-0.31%
2021-12-29,1803.66,"1,805.59","1,808.16","1,788.94",,-0.09%
2021-12-30,1815.01,"1,803.99","1,817.44","1,795.78",,0.63%
2021-12-31,1828.39,"1,815.44","1,830.58","1,814.15",,0.74%
2022-01-03,1800.85,"1,830.14","1,832.06","1,797.93",,-1.51%
2022-01-04,1814.56,"1,801.34","1,816.83","1,798.44",,0.76%
2022-01-05,1809.53,"1,814.90","1,829.82","1,807.97",,-0.28%
2022-01-06,1788.68,"1,809.94","1,811.89","1,786.03",,-1.15%
2022-01-07,1795.63,"1,789.55","1,799.20","1,782.63",,0.39%
2022-01-10,1801.41,"1,795.41","1,802.57","1,790.43",,0.32%
2022-01-11,1822.01,"1,801.69","1,823.35","1,800.09",,1.14%
2022-01-12,1825.32,"1,822.49","1,828.33","1,814.20",,0.18%
2022-01-13,1822.09,"1,825.94","1,828.38","1,811.83",,-0.18%
2022-01-14,1817.22,"1,822.55","1,829.66","1,814.13",,-0.27%
2022-01-17,1818.99,"1,817.90","1,823.72","1,812.67",,0.10%
2022-01-18,1813.54,"1,819.77","1,823.01","1,805.53",,-0.30%
2022-01-19,1839.96,"1,813.69","1,843.72","1,809.97",,1.46%
2022-01-20,1838.36,"1,840.30","1,848.36","1,835.67",,-0.09%
2022-01-21,1833.24,"1,838.65","1,843.53","1,828.04",,-0.28%
2022-01-24,1843.06,"1,834.49","1,844.53","1,829.09",,0.54%
2022-01-25,1847.56,"1,843.34","1,853.98","1,834.64",,0.24%
2022-01-26,1818.12,"1,847.99","1,850.44","1,814.90",,-1.59%
2022-01-27,1796.51,"1,818.44","1,822.51","1,790.98",,-1.19%
2022-01-28,1791.03,"1,796.94","1,799.82","1,779.88",,-0.30%
2022-01-31,1796.47,"1,791.19","1,800.23","1,785.03",,0.30%
2022-02-01,1800.65,"1,796.72","1,809.16","1,795.13",,0.23%
2022-02-02,1806.5,"1,800.94","1,811.53","1,794.11",,0.32%
2022-02-03,1804.4,"1,807.19","1,809.22","1,788.39",,-0.12%
2022-02-04,1807.49,"1,804.80","1,815.44","1,790.94",,0.17%
2022-02-07,1820.31,"1,806.99","1,824.06","1,806.94",,0.71%
2022-02-08,1825.48,"1,820.59","1,829.09","1,815.06",,0.28%
2022-02-09,1832.43,"1,826.05","1,836.35","1,824.50",,0.38%
2022-02-10,1826.57,"1,832.94","1,842.35","1,821.46",,-0.32%
2022-02-11,1859.96,"1,827.25","1,865.63","1,820.79",,1.83%
2022-02-14,1870.29,"1,861.55","1,874.41","1,850.45",,0.56%
2022-02-15,1853.06,"1,870.94","1,879.89","1,844.27",,-0.92%
2022-02-16,1868.37,"1,853.40","1,873.16","1,849.94",,0.83%
2022-02-17,1897.27,"1,868.84","1,901.57","1,867.18",,1.55%
